,Player,position,height,weight,country,draft_year,draft_number,conference,division,team
0,Alaa Abdelnaby,G-C,2.08,108.0,USA,1990,25,West,Northwest,Portland Trail Blazers
1,Zaid Abdul-Aziz,G-C,2.06,105.75,USA,1968,5,West,Southwest,Houston Rockets
2,Kareem Abdul-Jabbar,G-C,2.18,101.25,USA,1969,1,West,Pacific,Los Angeles Lakers
3,Mahmoud Abdul-Rauf,G-C,1.85,72.9,USA,1990,3,West,Northwest,Denver Nuggets
4,Tariq Abdul-Wahad,G-C,1.98,105.75,France,1997,11,West,Pacific,Sacramento Kings
5,Shareef Abdur-Rahim,F,2.06,110.25,USA,1996,3,West,Southwest,Memphis Grizzlies
6,Tom Abernethy,G-C,2.01,99.0,USA,1976,43,West,Pacific,Golden State Warriors
7,Forest Able,G-C,1.9,81.0,USA,1956,undrafted,East,Atlantic,Philadelphia 76ers
8,Alex Abrines,G,1.98,85.5,Spain,2013,32,West,Northwest,Oklahoma City Thunder
9,Precious Achiuwa,F,2.03,109.35,Nigeria,2020,undrafted,East,Atlantic,New York Knicks
10,Alex Acker,G-C,1.96,83.25,USA,2005,undrafted,West,Pacific,LA Clippers
11,Donald Ackerman,G-C,1.83,82.35000000000001,USA,1953,undrafted,East,Atlantic,New York Knicks
12,Mark Acres,G-C,2.11,99.0,USA,1985,undrafted,East,Southeast,Orlando Magic
13,Charles Acton,G-C,1.98,94.5,USA,undrafted,undrafted,West,Southwest,Houston Rockets
14,Quincy Acy,G-C,2.01,108.0,USA,2012,37,West,Pacific,Sacramento Kings
15,Alvan Adams,G-C,2.06,94.5,USA,1975,4,West,Pacific,Phoenix Suns
16,Jordan Adams,G-C,1.96,94.05,USA,2014,22,West,Southwest,Memphis Grizzlies
17,Hassan Adams,G-C,1.93,99.0,USA,2006,54,East,Atlantic,Brooklyn Nets
18,Steven Adams,C,2.11,119.25,New Zealand,2013,12,West,Southwest,Houston Rockets
19,Jaylen Adams,G,1.83,101.25,USA,undrafted,undrafted,East,Southeast,Atlanta Hawks
20,Michael Adams,G-C,1.78,74.25,USA,1985,66,West,Northwest,Denver Nuggets
21,Don Adams,G-C,2.01,94.5,USA,1970,1,East,Central,Detroit Pistons
22,Rafael Addison,G-C,2.03,108.45,USA,1986,39,East,Atlantic,Brooklyn Nets
23,Bam Adebayo,F-C,2.06,114.75,USA,2017,14,East,Southeast,Miami Heat
24,Deng Adel,G-C,2.01,90.0,South Sudan,2018,undrafted,East,Central,Cleveland Cavaliers
25,Rick Adelman,G-C,1.88,78.75,USA,1968,79,West,Northwest,Portland Trail Blazers
26,Jeff Adrien,G-C,2.01,110.25,USA,undrafted,undrafted,East,Southeast,Charlotte Hornets
27,Arron Afflalo,G,1.96,94.5,USA,2007,27,West,Northwest,Denver Nuggets
28,Ochai Agbaji,G,1.96,96.75,USA,2022,14,East,Atlantic,Toronto Raptors
29,Maurice Ager,G-C,1.96,90.9,USA,2006,28,West,Southwest,Dallas Mavericks
30,Mark Aguirre,G-C,1.98,104.4,USA,1981,1,West,Southwest,Dallas Mavericks
31,Blake Ahearn,G-C,1.88,85.5,USA,undrafted,undrafted,East,Southeast,Miami Heat
32,Danny Ainge,G-C,1.96,78.75,USA,1981,31,East,Atlantic,Boston Celtics
33,Alexis Ajinca,G-C,2.18,111.6,France,2008,undrafted,West,Southwest,New Orleans Pelicans
34,Melvin Ajinca,F,2.03,94.5,France,2024,51,West,Southwest,Dallas Mavericks
35,Henry Akin,G-C,2.08,101.25,USA,1966,11,East,Atlantic,New York Knicks
36,James Akinjo,G,1.85,85.5,USA,undrafted,undrafted,East,Central,Milwaukee Bucks
37,Josh Akognon,G-C,1.8,83.25,USA,undrafted,undrafted,West,Southwest,Dallas Mavericks
38,DeVaughn Akoon-Purcell,G-F,1.96,90.45,Trinidad and Tobago,2016,undrafted,West,Northwest,Denver Nuggets
39,Solomon Alabi,G-C,2.16,113.4,Nigeria,2010,undrafted,East,Atlantic,Toronto Raptors
40,Mark Alarie,G-C,2.03,97.65,USA,1986,18,East,Southeast,Washington Wizards
41,Gary Alcorn,G-C,2.06,101.25,USA,1959,16,East,Central,Detroit Pistons
42,Santi Aldama,F,2.13,96.75,Spain,2021,undrafted,West,Southwest,Memphis Grizzlies
43,Furkan Aldemir,G-C,2.08,108.0,Turkey,2012,53,East,Atlantic,Philadelphia 76ers
44,Cole Aldrich,G-C,2.11,113.85,USA,2010,11,East,Atlantic,New York Knicks
