Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,position,height,weight,country,draft_year,draft_number,conference,division,team,Group
A.J. Green,20.09,2.72,5.56,0.45,2.44,5.11,0.41,0.28,0.33,0.14,0.22,1.78,2.0,0.89,0.56,0.06,0.5,1.83,8.17,6.02,G,1.93,85.5,USA,undrafted,undrafted,East,Central,Milwaukee Bucks,Role Players
AJ Johnson,2.07,0.25,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.5,0.08,G,1.96,72.0,USA,2024,23,East,Central,Milwaukee Bucks,Prospects and Bench Players
Aaron Gordon,30.34,5.29,10.0,0.52,1.71,3.14,0.49,3.14,3.71,0.61,2.71,4.0,6.71,3.14,0.71,0.29,1.29,1.86,15.43,14.5,F,2.03,105.75,USA,2014,4,West,Northwest,Denver Nuggets,All-Stars
Aaron Holiday,8.73,1.27,2.82,0.41,0.82,2.09,0.29,0.45,0.64,0.18,0.0,0.82,0.82,1.27,0.09,0.09,0.27,0.45,3.82,3.12,G,1.83,83.25,USA,2018,23,West,Southwest,Houston Rockets,Prospects and Bench Players
Aaron Nesmith,22.7,3.17,6.0,0.55,1.0,1.83,0.5,1.83,2.17,0.44,0.67,3.33,4.0,1.0,0.67,0.33,0.83,4.0,9.17,6.73,F,1.98,96.75,USA,2020,14,East,Central,Indiana Pacers,Role Players
Aaron Wiggins,20.79,3.58,8.0,0.46,1.53,3.63,0.44,0.53,0.68,0.25,1.16,2.63,3.79,1.53,0.79,0.26,0.84,1.37,9.21,7.23,G,1.96,85.5,USA,2021,55,West,Northwest,Oklahoma City Thunder,Role Players
Adam Flagler,3.31,0.44,1.67,0.35,0.44,1.56,0.35,0.0,0.0,0.0,0.11,0.44,0.56,0.0,0.22,0.0,0.0,0.44,1.33,0.6,G,1.9,81.0,USA,undrafted,undrafted,West,Northwest,Oklahoma City Thunder,Prospects and Bench Players
Adama Sanogo,4.57,1.0,1.67,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.33,0.0,0.0,0.33,0.33,2.0,1.47,F,2.06,110.25,Mali,undrafted,undrafted,East,Central,Chicago Bulls,Prospects and Bench Players
Adem Bona,5.2,0.5,0.67,0.35,0.0,0.0,0.0,0.25,0.33,0.14,0.5,1.17,1.67,0.0,0.0,0.5,0.33,0.92,1.25,1.3,F,2.08,105.75,Nigeria,2024,41,East,Atlantic,Philadelphia 76ers,Prospects and Bench Players
Ajay Mitchell,16.4,2.26,4.68,0.44,0.58,1.37,0.35,0.53,0.68,0.29,0.37,1.16,1.53,1.63,0.89,0.05,0.79,1.63,5.63,4.43,G,1.96,85.5,Belgium,2024,38,West,Northwest,Oklahoma City Thunder,Role Players
